paper_id,title,year,venue,authors,topic_category,healthcare_relevance,wifi_csi_relevance,security_relevance,attack_or_defense,tasks,datasets_used,official_paper_url,doi_url,arxiv_or_open_url,official_github_url,code_status,dataset_status,license_status,reproducibility_status,thesis_chapter_relevance,repo_folder_if_tracked,paper_card_path,notes,last_verified
attack_wifi_sensing,Pending verification,Pending verification,Pending verification,Pending verification,adversarial_attack,Low (not healthcare-specific),High,High,Attack,Adversarial attack and defense for WiFi sensing,Pending verification,Pending verification,Pending verification,Pending verification,https://github.com/Guolin-Yin/Attack_WiFi_Sensing,Public GitHub available,Pending verification,Pending verification,Not tested,Chapter 4 (adversarial attacks); Chapter 6 (defense methodology),third_party/wifi_sensing_security/attack_wifi_sensing/,literature/paper_cards/with_public_code/attack_wifi_sensing.md,Public GitHub available; code not tested; external reference only,2026-05-24
sensefi,"SenseFi: A Library and Benchmark on Deep-Learning-Empowered WiFi Human Sensing",2023,"Patterns (Cell Press)","Yang et al.",benchmark,Low (not healthcare-specific),High,Medium,Benchmark,WiFi CSI benchmark and deep learning evaluation,Multiple public CSI datasets,Pending verification,https://doi.org/10.1016/j.patter.2023.100764,Pending verification,https://github.com/xyanchen/WiFi-CSI-Sensing-Benchmark,Public GitHub available,Pending verification,Pending verification,Not tested,Chapter 3 (baseline models); Chapter 7 (generalization),third_party/wifi_sensing/sensefi/,literature/paper_cards/with_public_code/sensefi.md,Public GitHub available; code not tested; external reference only,2026-05-24
antieave_wifi_sensing,Pending verification,Pending verification,"IEEE PerCom 2023 (verified from upstream BibTeX)","S. M. Hernandez and Eyuphan Bulut (verified from upstream BibTeX)",defense,Low (not healthcare-specific),High,High,Defense,Anti-eavesdropping defense for WiFi sensing,Pending verification,Pending verification,Pending verification,Pending verification,https://github.com/MoWiNG-Lab/AntiEave-WiFi-Sensing,Public GitHub available,Pending verification,Pending verification,Not tested,Chapter 5 (defenses); Chapter 6 (defense methods),third_party/wifi_sensing_security/antieave_wifi_sensing/,literature/paper_cards/with_public_code/antieave_wifi_sensing.md,Public GitHub available; code not tested; external reference only,2026-05-24
wifi_adg,Pending verification,Pending verification,Pending verification,Pending verification,adversarial_generation,Low (not healthcare-specific),High,High,Both,Adversarial data generation for WiFi sensing,Pending verification,Pending verification,Pending verification,Pending verification,https://github.com/siwangzhou/WiFi-ADG,Public GitHub available,Pending verification,Pending verification,Not tested,Chapter 5 (defenses); Chapter 6 (defense methods),third_party/wifi_sensing_security/wifi_adg/,literature/paper_cards/with_public_code/wifi_adg.md,Public GitHub available; code not tested; external reference only,2026-05-24
csigan,Pending verification,Pending verification,Pending verification,Pending verification,data_augmentation,Low (not healthcare-specific),High,Medium,Neither,CSI data augmentation via semi-supervised GAN,SignFi (external),Pending verification,https://doi.org/10.1109/JIOT.2019.2936580,Pending verification,https://github.com/ChunjingXiao/CsiGAN,Public GitHub available,Pending verification,Pending verification,Not tested,Chapter 6 (augmentation); Chapter 7 (generalization baseline),third_party/wifi_sensing/csigan/,literature/paper_cards/with_public_code/csigan.md,Public GitHub available; code not tested; external reference only,2026-05-24
csi_bench,Pending verification,Pending verification,Pending verification,Pending verification,benchmark,Low (not healthcare-specific),High,Medium,Benchmark,Real WiFi sensing benchmark evaluation,Multiple CSI datasets,Pending verification,Pending verification,Pending verification,https://github.com/guozhen-jenn-zhu/CSI-Bench-Real-WiFi-Sensing-Benchmark,Public GitHub available / benchmark repository available,Candidate dataset / benchmark pending verification,MIT (verified),Not tested,Chapter 3 (dataset selection); Chapter 7 (generalization),N/A,literature/paper_cards/datasets_and_benchmarks/csi_bench.md,Public GitHub available; benchmark not tested; external reference only,2026-05-24
noisec,Pending verification,Pending verification,Pending verification,Pending verification,defense,Low (not healthcare-specific; WiFi CSI applicability pending verification),High,High,Defense,Noise-based adversarial defense for WiFi sensing,Lab CSI,Pending verification,Pending verification,Pending verification,https://github.com/shahriar0651/NoiSec,Public GitHub available,Pending verification,MIT (verified),Not tested,Chapter 5 (defenses); Chapter 6 (noise-based defenses),third_party/wifi_sensing_security/noisec/,literature/paper_cards/defense_methods/noisec.md,Public GitHub available; code not tested; external reference only,2026-05-24
infocom_2023_wifi_apnea_attack,"Adversarial Attack and Defense for WiFi-based Apnea Detection System (pending verification)",2023,"IEEE INFOCOM 2023 Workshops (pending verification)","Harshit Ambalkar et al. (pending verification)",adversarial_attack,High,High,High,Both,"Adversarial attack and defense for WiFi-based apnea detection",Lab CSI,Pending verification,Pending verification,Pending verification,No confirmed public GitHub found,No confirmed public GitHub found,Pending verification,N/A,Not reproducible from public code yet,"Chapter 4 (adversarial attacks); Chapter 5 (clinical safety)",N/A,literature/paper_cards/no_confirmed_code/infocom_2023_wifi_apnea_attack.md,"No public code found; healthcare adversarial WiFi sensing reference",2026-05-24
wicam_wicam2,Pending verification,Pending verification,Pending verification,Pending verification,adversarial_attack,Pending verification,High,High,Attack,Adversarial WiFi sensing reference,Pending verification,Pending verification,Pending verification,Pending verification,No confirmed public GitHub found,No confirmed public GitHub found,Pending verification,N/A,Not reproducible from public code yet,Chapter 4 (adversarial attacks),N/A,literature/paper_cards/no_confirmed_code/wicam_wicam2.md,No public code found; adversarial WiFi sensing reference; all metadata pending,2026-05-24
wiintruder,Pending verification,Pending verification,Pending verification,Pending verification,adversarial_attack,Pending verification,High,High,Attack,Adversarial WiFi sensing reference,Pending verification,Pending verification,Pending verification,Pending verification,No confirmed public GitHub found,No confirmed public GitHub found,Pending verification,N/A,Not reproducible from public code yet,Chapter 4 (adversarial attacks),N/A,literature/paper_cards/no_confirmed_code/wiintruder.md,No public code found; adversarial WiFi sensing reference; all metadata pending,2026-05-24
mobicom_2024_preamble_perturbation,Pending verification,2024,"ACM MobiCom 2024 (pending verification)",Pending verification,adversarial_attack,Pending verification,High,High,Attack,Physical-layer preamble perturbation attack on WiFi sensing,Pending verification,Pending verification,Pending verification,Pending verification,No confirmed public GitHub found,No confirmed public GitHub found,Pending verification,N/A,Not reproducible from public code yet,Chapter 4 (adversarial attacks),N/A,literature/paper_cards/no_confirmed_code/mobicom_2024_preamble_perturbation.md,No public code found; physical-layer WiFi sensing attack reference; all metadata pending,2026-05-24
